,count,mean,std,min,25%,50%,75%,max
avg_unique_cmds_per_ms,67.0,2.8917906305966,0.5862709742562615,1.6666666666666667,2.4545454545454546,2.9,3.3636363636363638,4.555555555555555
min_unique_cmds_per_ms,67.0,1.1791044776119404,0.3863337046431279,1.0,1.0,1.0,1.0,2.0
max_unique_cmds_per_ms,67.0,7.044776119402985,2.2592090049187403,2.0,6.0,7.0,9.0,12.0
max_cmd_rep,67.0,4.6716417910447765,12.668725581910053,1.0,2.0,2.0,3.0,85.0
cmds_per_minute,67.0,0.03523096212001063,0.01808462887237624,0.0028161081385525205,0.023728285391383518,0.03382838283828383,0.046356967534106064,0.10335448776065277
avg_cmd_gap,67.0,36.37447981085773,24.847404520652525,9.761061946902656,21.990466101694913,30.545454545454547,39.94388456252863,174.66666666666666
avg_cmds_per_ms,67.0,6.370962246708515,4.349087703978779,1.8333333333333333,4.0,5.181818181818182,7.25,28.25
min_cmds_per_ms,67.0,1.2537313432835822,0.5598507263734642,1.0,1.0,1.0,1.0,4.0
max_cmds_per_ms,67.0,23.91044776119403,19.533755820710436,3.0,12.0,19.0,30.5,98.0
avg_time_to_ms,67.0,787.1492365428934,800.3279333424904,135.66666666666666,434.50757575757575,591.6,809.9059829059829,5822.111111111111
min_time_to_ms,67.0,27.417910447761194,60.705486061737936,0.0,0.0,2.0,16.5,323.0
max_time_to_ms,67.0,1870.134328358209,1859.2960780695798,229.0,1095.5,1446.0,1976.0,14214.0
avg_ms_gap,67.0,204.83582089552237,200.06056636072364,52.0,118.0,160.0,211.0,1579.0
avg_errors_per_ms,67.0,0.5994222609894252,0.602462475149752,0.0,0.2403846153846154,0.45454545454545453,0.7272727272727273,3.4444444444444446
max_errors_per_ms,67.0,3.2238805970149254,3.414855671657908,0.0,1.0,3.0,4.0,23.0
struggled,67.0,0.19402985074626866,0.3984365646688679,0.0,0.0,0.0,0.0,1.0
